zone_label,mgmt_area,rms_well,area_acres,sy,sy_source,baseline_year,baseline_gwe,endpoint_year,endpoint_gwe,dgwe_endpoint_minus_baseline_ft,cumulative_storage_endpoint_AF,avg_rate_AF_per_yr,hold_steady_need_AF_per_yr,project_AF_per_yr,project_name,coverage_net_AF_per_yr
14N02W29J001M,CCWD,14N02W29J001M,8085.4,0.1,uniform 0.10,1999,97.30,2015,18.00,-79.30,-64117,-4007,4007,0,,-4007
13N02W20H002M,CCWD,13N02W20H002M,7646.7,0.1,uniform 0.10,2007,207.48,2025,179.88,-27.60,-21105,-1172,1172,0,,-1172
13N02W12L001M,CCWD,13N02W12L001M,7435.3,0.1,uniform 0.10,2000,69.59,2025,17.79,-51.80,-38515,-1541,1541,0,,-1541
13N01W22P002M,CCWD,13N01W22P002M,10244.6,0.1,uniform 0.10,2000,29.96,2008,39.06,+9.10,9323,1165,0,0,,+0
14N03W24C001M,CCWD,14N03W24C001M,4548.1,0.1,uniform 0.10,2000,84.91,2020,36.31,-48.60,-22104,-1105,1105,0,,-1105
13N02W15J001M,CCWD,13N02W15J001M,7804.9,0.1,uniform 0.10,1999,103.32,2014,46.92,-56.40,-44020,-2935,2935,0,,-2935
13N01E11A001M,RD108,13N01E11A001M,5447.2,0.1,uniform 0.10,1999,28.79,2025,28.50,-0.29,-158,-6,6,0,,-6
14N01E35P003M,RD108,14N01E35P003M,6575.1,0.1,uniform 0.10,2011,32.41,2025,32.90,+0.48,318,23,0,0,,+0
13N01W13P003M,RD108,13N01W13P003M,16873.0,0.1,uniform 0.10,1999,29.93,2025,19.90,-10.03,-16928,-651,651,0,,-651
12N01E06D004M,RD108,12N01E06D004M,6955.4,0.1,uniform 0.10,1999,29.29,2025,16.84,-12.45,-8659,-333,333,0,,-333
12N01E26A002M,RD108,12N01E26A002M,6793.9,0.1,uniform 0.10,1999,25.05,2021,5.58,-19.47,-13228,-601,601,0,,-601
11N01E02D001M,RD108,11N01E02D001M,6847.5,0.1,uniform 0.10,1999,23.26,2023,10.41,-12.85,-8798,-367,367,0,,-367
12N01E03R002M,RD108,12N01E03R002M,9221.9,0.1,uniform 0.10,2001,21.90,2024,22.90,+1.00,922,40,0,0,,+0
Dunnigan,Dunnigan,12N01W05B001M,10421.1,0.1,uniform 0.10,1999,60.60,2025,19.54,-41.06,-42789,-1646,1646,0,,-1646
13N01W07G001M,Other,13N01W07G001M,11227.5,0.1,uniform 0.10,1999,46.87,2025,17.28,-29.59,-33221,-1278,1278,0,,-1278
14N02W13N001M,Other,14N02W13N001M,10722.0,0.1,uniform 0.10,2000,38.45,2025,28.95,-9.50,-10186,-407,407,0,,-407
15N01W05G001M,Other,15N01W05G001M,20104.8,0.1,uniform 0.10,1999,35.62,2025,43.52,+7.90,15883,611,0,0,,+0
15N02W19E001M,Other,15N02W19E001M,24621.0,0.1,uniform 0.10,1999,79.96,2025,72.11,-7.85,-19327,-743,743,0,,-743
14N02W22A005M,Other,14N02W22A005M,7305.1,0.1,uniform 0.10,2020,22.28,2025,21.14,-1.14,-834,-167,167,0,,-167
14N03W14Q003M,Other,14N03W14Q003M,12514.1,0.1,uniform 0.10,2001,54.22,2022,-16.88,-71.10,-88975,-4237,4237,0,,-4237
14N01W04K003M,Other,14N01W04K003M,30224.5,0.1,uniform 0.10,1999,31.93,2022,27.93,-4.00,-12090,-526,526,0,,-526
11N01E16P001M,Other,11N01E16P001M,16921.4,0.1,uniform 0.10,1999,28.00,2025,14.13,-13.87,-23467,-903,903,0,,-903
11N02E20K004M,Other,11N02E20K004M,19704.5,0.1,uniform 0.10,1999,33.47,2025,27.83,-5.64,-11113,-427,427,0,,-427
10N02E09N001M,Other,10N02E09N001M,1357.7,0.1,uniform 0.10,2002,34.90,2025,35.16,+0.26,35,2,0,0,,+0
10N02E06B001M,Other,10N02E06B001M,4744.1,0.1,uniform 0.10,2001,38.09,2025,32.18,-5.91,-2804,-117,117,0,,-117
10N02E03R002M,Other,10N02E03R002M,16978.8,0.1,uniform 0.10,2001,27.18,2025,24.98,-2.20,-3735,-156,156,0,,-156
10N01E02Q002M,Other,10N01E02Q002M,5632.1,0.1,uniform 0.10,2001,42.41,2025,40.26,-2.15,-1211,-50,50,0,,-50
