zone_label,n_boreholes_in_polygon,n_boreholes_with_>=200ft_valid,total_thick_ft,coarse_thick_ft,pct_coarse,sy
14N02W29J001M,8,8,3905,896,0.2294,0.0729
13N02W20H002M,3,3,1500,629,0.4193,0.0919
13N02W12L001M,8,6,2768,697,0.2518,0.0752
13N01W22P002M,5,4,1717,325,0.1893,0.0689
14N03W24C001M,2,2,1000,258,0.2580,0.0758
13N02W15J001M,4,4,1769,476,0.2691,0.0769
13N01E11A001M,4,3,1200,583,0.4858,0.0986
14N01E35P003M,6,5,2368,670,0.2829,0.0783
13N01W13P003M,15,7,3207,706,0.2201,0.0720
12N01E06D004M,3,3,1500,610,0.4067,0.0907
12N01E26A002M,3,3,1500,499,0.3327,0.0833
11N01E02D001M,3,3,1479,368,0.2488,0.0749
12N01E03R002M,5,4,2000,742,0.3710,0.0871
Dunnigan,8,8,3577,938,0.2622,0.0762
13N01W07G001M,7,7,3376,674,0.1996,0.0700
14N02W13N001M,15,6,2760,781,0.2830,0.0783
15N01W05G001M,46,10,3813,989,0.2594,0.0759
15N02W19E001M,14,12,5267,1064,0.2020,0.0702
14N02W22A005M,3,3,1500,229,0.1527,0.0653
14N03W14Q003M,5,5,2385,681,0.2855,0.0786
14N01W04K003M,51,16,6662,2444,0.3669,0.0867
11N01E16P001M,11,10,3877,839,0.2164,0.0716
11N02E20K004M,30,19,8908,2508,0.2815,0.0782
10N02E09N001M,1,1,500,99,0.1980,0.0698
10N02E06B001M,1,1,372,24,0.0645,0.0565
10N02E03R002M,7,6,2063,592,0.2870,0.0787
10N01E02Q002M,5,5,2256,464,0.2057,0.0706
