zone_label,n_boreholes_in_polygon,n_boreholes_with_>=200ft_valid,total_thick_ft,coarse_thick_ft,pct_coarse,sy
13N01W07G001M,15,6,2768,673,0.2431,0.0743
14N02W29J001M,8,8,3905,896,0.2294,0.0729
13N01E11A001M,5,4,1426,673,0.4719,0.0972
14N02W13N001M,15,6,2760,781,0.2830,0.0783
15N01W05G001M,46,10,3813,989,0.2594,0.0759
15N02W19E001M,13,11,4841,915,0.1890,0.0689
14N01E35P003M,24,6,2668,816,0.3058,0.0806
13N01W13P003M,6,6,2744,707,0.2577,0.0758
12N01E06D004M,8,8,3692,1049,0.2841,0.0784
14N02W22A005M,3,3,1500,229,0.1527,0.0653
14N03W14Q003M,2,2,885,222,0.2508,0.0751
14N01W04K003M,34,16,7099,2300,0.3240,0.0824
13N02W20H002M,4,4,2000,786,0.3930,0.0893
13N02W12L001M,3,2,1000,179,0.1790,0.0679
13N01W22P002M,4,3,1217,244,0.2005,0.0700
14N03W24C001M,6,6,2926,866,0.2960,0.0796
13N02W15J001M,4,4,1769,476,0.2691,0.0769
12N01W05B001M,10,10,4577,1201,0.2624,0.0762
11N01E16P001M,6,6,2247,389,0.1731,0.0673
11N02E20K004M,28,17,7908,2313,0.2925,0.0792
10N02E09N001M,1,1,500,99,0.1980,0.0698
12N01E26A002M,5,4,2000,560,0.2800,0.0780
11N01E02D001M,5,5,2293,600,0.2617,0.0762
10N02E06B001M,1,1,372,24,0.0645,0.0565
10N02E03R002M,7,6,2063,592,0.2870,0.0787
12N01E03R002M,5,4,2000,742,0.3710,0.0871
10N01E02Q002M,5,5,2256,464,0.2057,0.0706
