year,year_type,yoy_delta_AF,cumulative_AF
1999,Wet,0,0
2000,Above Normal,3876,3876
2001,Dry,1003,4879
2002,Dry,-725,4154
2003,Above Normal,21129,25284
2004,Below Normal,21155,46439
2005,Above Normal,18717,65156
2006,Wet,9445,74601
2007,Dry,-66178,8423
2008,Critical,16143,24566
2009,Dry,-73467,-48901
2010,Below Normal,-20837,-69738
2011,Wet,-17622,-87360
2012,Below Normal,-42858,-130218
2013,Dry,-42669,-172887
2014,Critical,-80234,-253122
2015,Critical,-49220,-302342
2016,Below Normal,-28584,-330926
2017,Wet,83104,-247822
2018,Below Normal,-67012,-314834
2019,Wet,62100,-252734
2020,Dry,-81077,-333811
2021,Critical,-120549,-454360
2022,Critical,-81843,-536203
2023,Wet,89427,-446775
2024,Above Normal,72150,-374625
2025,Above Normal,21432,-353193
