year,year_type,yoy_delta_AF,cumulative_AF
1999,Wet,0,0
2000,Above Normal,1,1
2001,Dry,2809,2810
2002,Dry,-6206,-3396
2003,Above Normal,18187,14792
2004,Below Normal,19116,33908
2005,Above Normal,16884,50792
2006,Wet,6610,57401
2007,Dry,-59705,-2304
2008,Critical,8758,6453
2009,Dry,-62216,-55762
2010,Below Normal,-20622,-76384
2011,Wet,-16639,-93023
2012,Below Normal,-44114,-137138
2013,Dry,-40245,-177382
2014,Critical,-77053,-254436
2015,Critical,-51169,-305605
2016,Below Normal,-28198,-333803
2017,Wet,84525,-249278
2018,Below Normal,-63992,-313270
2019,Wet,61800,-251470
2020,Dry,-82166,-333635
2021,Critical,-119541,-453176
2022,Critical,-76908,-530084
2023,Wet,92923,-437161
2024,Above Normal,73359,-363802
2025,Above Normal,21426,-342376
