well_id,site_code,reason
15N03W20Q002M,391330N1222165W002,outside SCNY boundary
16N02W05B003M,392753N1221057W003,outside SCNY boundary
17N02W09H004M,393417N1220838W003,outside SCNY boundary
16N03W14H006M,392414N1221535W004,outside SCNY boundary
16N02W25B002M,392165N1220312W001,outside SCNY boundary
18N02W36B001M,393772N1220298W001,outside SCNY boundary
17N03W08R001M,393352N1222124W001,outside SCNY boundary
16N04W02P001M,392629N1222754W001,outside SCNY boundary
17N03W32H001M,392870N1222095W001,outside SCNY boundary
17N02W30J002M,392954N1221212W001,outside SCNY boundary
15N03W08Q001M,391614N1222138W001,outside SCNY boundary
21N02W01F003M,397043N1220386W001,outside SCNY boundary
22N03W24E002M,397473N1221559W002,outside SCNY boundary
21N02W04G004M,397033N1220910W003,outside SCNY boundary
21N03W34Q004M,396244N1221872W003,outside SCNY boundary
21N03W01R002M,396963N1221406W001,outside SCNY boundary
21N02W33M003M,396299N1221007W003,outside SCNY boundary
20N02W25F004M,395595N1220326W004,outside SCNY boundary
20N02W18R008M,395855N1221170W004,outside SCNY boundary
21N02W36A002M,396355N1220331W001,outside SCNY boundary
19N02W33K001M,394559N1220854W001,outside SCNY boundary
20N03W07E004M,396049N1222495W004,outside SCNY boundary
21N02W05M002M,397008N1221208W002,outside SCNY boundary
19N04W14M002M,395023N1222837W001,outside SCNY boundary
19N02W08Q002M,395157N1221122W002,outside SCNY boundary
21N04W12A002M,396971N1222533W001,outside SCNY boundary
21N03W23D002M,396672N1221774W002,outside SCNY boundary
22N02W30H003M,397325N1221233W002,outside SCNY boundary
18N02W18D004M,394208N1221341W004,outside SCNY boundary
20N02W33B001M,395496N1220839W001,outside SCNY boundary
09N01W21E001M,386148N1219868W001,outside SCNY boundary
07N03E04Q001M,384757N1216466W001,outside SCNY boundary
09N01E03C003M,386622N1218534W001,outside SCNY boundary
10N02E29A001M,386914N1217662W001,outside SCNY boundary
10N03W24B002M,387067N1221411W001,outside SCNY boundary
08N02E15A002M,385441N1217312W001,outside SCNY boundary
11N03W33F001M,388472N1222010W001,outside SCNY boundary
11N03W35D003M,387638N1221704W001,outside SCNY boundary
08N03E07N500M,385460N1216942W001,outside SCNY boundary
08N01W22G500M,385269N1219613W001,outside SCNY boundary
10N01E15D001M,387186N1218562W001,outside SCNY boundary
10N01E18C001M,387200N1219055W001,outside SCNY boundary
12N03W20D001M,388805N1222219W001,outside SCNY boundary
11N03W09Q001M,388103N1221989W001,outside SCNY boundary
11N03W23L001M,387857N1221651W001,outside SCNY boundary
11N03W23N001M,387841N1221696W001,outside SCNY boundary
10N01W02Q001M,387377N1219421W001,outside SCNY boundary
10N03W02R002M,387374N1221558W001,outside SCNY boundary
10N01W08B001M,387366N1219984W001,outside SCNY boundary
10N02W14A001M,387216N1220463W001,outside SCNY boundary
10N02W18F001M,387180N1221278W001,outside SCNY boundary
10N02W16R001M,387098N1220859W001,outside SCNY boundary
10N01W21J001M,386982N1219746W001,outside SCNY boundary
10N01E23Q002M,386929N1218266W001,outside SCNY boundary
10N01E29K001M,386821N1218808W001,outside SCNY boundary
10N02W26P001M,386802N1220566W001,outside SCNY boundary
10N01E34A003M,386775N1218417W001,outside SCNY boundary
10N01W35Q001M,386652N1219419W001,outside SCNY boundary
09N01E07D001M,386484N1219151W001,outside SCNY boundary
09N02E07L001M,386409N1217963W001,outside SCNY boundary
09N01W08Q001M,386352N1219951W001,outside SCNY boundary
09N01E24D001M,386191N1218180W001,outside SCNY boundary
09N01W23D001M,386180N1219524W001,outside SCNY boundary
09N01E20E001M,386135N1218950W001,outside SCNY boundary
09N02E22H002M,386125N1217307W001,outside SCNY boundary
09N03E19R002M,386041N1216747W002,outside SCNY boundary
09N01E26N001M,385938N1218398W001,outside SCNY boundary
09N01E31D001M,385902N1219112W001,outside SCNY boundary
09N02E32M001M,385827N1217848W001,outside SCNY boundary
08N01W09C001M,385587N1219839W001,outside SCNY boundary
08N01E07R001M,385503N1218973W001,outside SCNY boundary
08N01W13G003M,385410N1219246W001,outside SCNY boundary
08N01W20R005M,385186N1219905W001,outside SCNY boundary
10N01W32E001M,386713N1220055W001,outside SCNY boundary
08N03E32L001M,384938N1216714W001,outside SCNY boundary
06N03E07M001M,383785N1216916W001,outside SCNY boundary
10N03E33B011M,386759N1216446W002,outside SCNY boundary
10N02E36E001M,386720N1217096W001,outside SCNY boundary
09N03E33B002M,385894N1216449W001,outside SCNY boundary
